delta_id,rw_x,rw_y,rw_z,cluster,stationary_probability
1,0.013301469356543623,0.006660003387255987,0.001901122608945553,4,0.014392317849193453
2,0.01459198692513267,0.008135828331359047,0.0018947911607745563,4,0.014139146663467075
3,0.013881410779887079,-0.002319687246997892,0.007258102854173835,1,0.015230902225412396
4,0.01589831669517105,0.0019668953876735545,0.0059226189343631825,1,0.01434851375446343
5,0.017310287300167475,0.0076228228989869235,-6.005578533059169e-06,1,0.014386349157028359
6,0.01576747508735339,0.004049317340563154,-5.283308173095497e-05,1,0.014307926196002758
7,0.018744195133154513,0.007707585592984768,-0.0008937853333681292,1,0.014374650798969347
8,0.015029845899017366,0.003591850927832547,-0.0011513381805361748,1,0.014245070768477166
9,0.005314622727777809,0.003406909608294393,0.006421637259644944,1,0.014628176513573716
10,0.014366867408559142,-0.0014059342005572728,0.009628026639652539,1,0.015075115697860146
11,0.016396640937634627,0.008190455863324772,0.002048473707718589,1,0.01422242591521026
12,0.00625827502501673,0.002190716657510843,0.006011496762111906,7,0.014616723299689825
13,0.015477997501012876,0.0064755808723422036,-0.0008988987813695927,1,0.013930543792159104
14,0.002504648041773256,-0.010221216788124692,-9.401078602503396e-06,6,0.015218406858769852
15,0.015335844962603299,0.0005655454356158671,0.005276901223338247,1,0.014719407265469178
16,0.011813080433437723,-0.0026597905657481467,0.001081899446486713,1,0.015007693570084177
17,0.0027680418138253853,0.003514223751632598,-0.002402166162255005,7,0.014321848027120809
18,0.01248959861487631,0.002010729036557586,0.0012338603290149193,1,0.014796365984298655
19,-0.00018460280741896905,-0.004831542892885137,-0.00703339880603023,6,0.014709404968510673
20,0.0028605906740562354,-0.008045829596712042,-0.005039532612407158,6,0.014503921243377372
21,0.0008203011671034674,-0.006496597553906495,0.005725281275463542,7,0.015396346105944717
22,0.005688943402204556,-0.010674181302492232,0.004655852507060762,7,0.015364160746034665
23,0.004722461547433266,-0.0015744070839958846,-0.0022424388913437005,7,0.01455305124040973
24,0.010482928506005006,-0.008736710552937062,0.0036242652390289054,7,0.015477605356307078
25,0.001196113529890259,-0.005068934543148049,0.004130240221749633,7,0.014736541841748206
26,0.011426575452466795,-0.0057867359118077884,4.33432794468573e-05,7,0.014742752836702767
27,0.00865373951820259,-0.005466137842210793,-0.00578443193461464,6,0.014691658359729215
28,0.007175467206566948,-0.0033875322798727985,-0.005940982555347152,6,0.01458224590314052
29,-0.0036393139120482047,-0.008333447377062904,-0.011086140125507885,6,0.014560181683712242
