puzzle,slot,true_slot,y_branch,is_true_xy,E_x,E_y,E_d,E_nd,x_minus_d,y_minus_d,x_minus_nd,y_minus_x
1,0,0,y,True,0.29100088530546486,-0.25844005242552726,-0.17285107330441463,-0.17285107330441463,0.4638519586098795,0.087262094183302,0.4638519586098795,-0.3765898644265775
1,0,0,-y,False,0.29100088530546486,0.41517699115412654,-0.17285107330441463,-0.17285107330441463,0.4638519586098795,0.7608791377629558,0.4638519586098795,0.2970271791530763
1,1,0,y,False,0.6070299486845556,-0.25844005242552726,-0.17285107330441463,-0.17285107330441463,0.7798810219889702,0.087262094183302,0.7798810219889702,-0.6926189278056682
1,1,0,-y,False,0.6070299486845556,0.41517699115412654,-0.17285107330441463,-0.17285107330441463,0.7798810219889702,0.7608791377629558,0.7798810219889702,-0.019001884226014454
1,2,0,y,False,0.6547565356192138,-0.25844005242552726,-0.17285107330441463,-0.17285107330441463,0.8276076089236284,0.087262094183302,0.8276076089236284,-0.7403455147403264
1,2,0,-y,False,0.6547565356192138,0.41517699115412654,-0.17285107330441463,-0.17285107330441463,0.8276076089236284,0.7608791377629558,0.8276076089236284,-0.0667284711606726
2,0,2,y,False,0.47679513971975496,0.4742016369022366,0.6196301770561634,-0.17285107330441463,-0.14283503733640845,0.027422533150487816,0.6496462130241696,0.17025757048689627
2,0,2,-y,False,0.47679513971975496,0.5651589742156489,0.6196301770561634,-0.17285107330441463,-0.14283503733640845,0.11837987046390008,0.6496462130241696,0.26121490780030854
2,1,2,y,False,0.7289984538919185,0.4742016369022366,0.6196301770561634,-0.17285107330441463,0.10936827683575512,0.027422533150487816,0.9018495271963332,-0.0819457436852673
2,1,2,-y,False,0.7289984538919185,0.5651589742156489,0.6196301770561634,-0.17285107330441463,0.10936827683575512,0.11837987046390008,0.9018495271963332,0.009011593628144965
2,2,2,y,False,0.807698967553506,0.4742016369022366,0.6196301770561634,-0.17285107330441463,0.1880687904973426,0.027422533150487816,0.9805500408579206,-0.16064625734685478
2,2,2,-y,True,0.807698967553506,0.5651589742156489,0.6196301770561634,-0.17285107330441463,0.1880687904973426,0.11837987046390008,0.9805500408579206,-0.06968892003344251
3,0,1,y,False,-0.013801207942464089,0.26426420612730794,0.23082638772438746,-0.17285107330441463,-0.24462759566685155,0.2062888917073351,0.15904986536195054,0.45091648737418666
3,0,1,-y,False,-0.013801207942464089,0.024498936477115763,0.23082638772438746,-0.17285107330441463,-0.24462759566685155,-0.03347637794285707,0.15904986536195054,0.21115121772399448
3,1,1,y,False,0.09472399967783929,0.26426420612730794,0.23082638772438746,-0.17285107330441463,-0.13610238804654817,0.2062888917073351,0.2675750729822539,0.3423912797538833
