puzzle,log2_sqrt_x,log2_sqrt_y,E_x,E_y,E_x_wrapped,E_y_wrapped,delta_x,delta_y,neg_frac_delta_y
1,127.46385195860988,127.0872620941833,0.29100088530546486,-0.25844005242552726,0.29100088530546486,-0.25844005242552726,0.8818501879989583,1.258440052425539,-0.258440052425539
2,127.98055004085792,126.91086112082448,0.807698967553506,0.5651589742156489,-0.192301032446494,-0.43484102578435113,0.3651521057509179,1.4348410257843682,-0.43484102578436823
3,127.26757507298225,127.37020108308595,0.09472399967783929,0.024498936477115763,0.09472399967783929,0.024498936477115763,1.0781270736265944,0.9755010635228907,-0.9755010635228907
4,126.77740820476066,127.26415558868673,0.6045571314562466,-0.08154655792209553,-0.39544286854375343,-0.08154655792209553,1.568293941848175,1.0815465579221109,-0.08154655792211085
5,126.86628232255771,126.82365631233868,0.6934312492532939,0.47795416572985516,-0.3065687507467061,0.47795416572985516,1.4794198240511267,1.5220458342701633,-0.5220458342701633
6,127.96197461499655,127.90647547272759,0.7891235416921347,0.5607733261187633,-0.21087645830786528,-0.4392266738812367,0.3837275316122899,0.4392266738812439,-0.4392266738812439
7,127.61593713792605,127.78369360807099,0.4430860646216388,0.43799146146216117,0.4430860646216388,0.43799146146216117,0.7297650086827817,0.5620085385378558,-0.5620085385378558
8,125.56352582004294,127.86081599556191,0.39067474673852587,0.515113848953078,0.39067474673852587,-0.484886151046922,2.7821763265658968,0.48488615104693383,-0.48488615104693383
9,127.03707553141973,127.54144354307734,-0.13577554188468355,0.19574139646850597,-0.13577554188468355,0.19574139646850597,1.3086266151891126,0.804258603531506,-0.804258603531506
10,127.69462680130756,127.86905541684898,0.5217757280031492,0.5233532702401504,-0.4782242719968508,-0.47664672975984956,0.6510753453012833,0.47664672975986283,-0.47664672975986283
11,127.55958585209929,126.43063756356572,0.3867347787948745,0.08493541695689544,0.3867347787948745,0.08493541695689544,0.7861162945095527,1.9150645830431219,-0.9150645830431219
12,127.55949055033508,127.30671911086314,0.3866394770306698,-0.03898303574568729,0.3866394770306698,-0.03898303574568729,0.7862115962737607,1.0389830357456993,-0.03898303574569928
13,127.7083108124917,126.77487980624467,0.5354597391872886,0.4291776596358403,-0.4645402608127114,0.4291776596358403,0.6373913341171316,1.5708223403641675,-0.5708223403641675
14,127.74970291489329,127.45620916776342,0.5768518415888764,0.11050702115458932,-0.42314815841112363,0.11050702115458932,0.5959992317155459,0.889492978845426,-0.889492978845426
15,127.99617668579172,127.81855601992464,0.8233256124873094,0.4728538733158132,-0.1766743875126906,0.4728538733158132,0.34952546081711516,0.5271461266842045,-0.5271461266842045
