idx	priority	label	center_dec	center_hex	lo_dec	hi_dec	lo_hex	hi_hex	width_bits
1	0	kanga_mid	34396961501501289790968896312971598690914	0x651565d0aed35b732c9f1da5021496fa62	34396961501501289790821322360381922277986	34396961501501289791116470265561275103842	000000000000000000000000000000651565D0AED35B73249F1DA5021496FA62	000000000000000000000000000000651565D0AED35B73349F1DA5021496FA62	68
2	0	kanga_lower	34174754894546241838917366508516248859293	0x646e3a611d16550676944463c5f81f329d	34174754894546241838769792555926572446365	34174754894546241839064940461105925272221	000000000000000000000000000000646E3A611D1655066E944463C5F81F329D	000000000000000000000000000000646E3A611D1655067E944463C5F81F329D	68
3	0	kanga_upper_minus_1	34619168108456337743020426117426948522535	0x65bc9140409061dfe2a9f6e63e310ec227	34619168108456337742872852164837272109607	34619168108456337743168000070016624935463	00000000000000000000000000000065BC9140409061DFDAA9F6E63E310EC227	00000000000000000000000000000065BC9140409061DFEAA9F6E63E310EC227	68
4	1	chunk_18	34196556479943799031756551071842849986982	0x647ea136435bd787040c3d84b5fe7b19a6	34196556479943799031608977119253173574054	34196556479943799031904125024432526399910	000000000000000000000000000000647EA136435BD786FC0C3D84B5FE7B19A6	000000000000000000000000000000647EA136435BD7870C0C3D84B5FE7B19A6	68
5	2	b2[46]	34339313561024031265435986695011695739557	0x64ea0739c6ae6c43a18d226a380b5242a5	34339313561024031265288412742422019326629	34339313561024031265583560647601372152485	00000000000000000000000000000064EA0739C6AE6C43998D226A380B5242A5	00000000000000000000000000000064EA0739C6AE6C43A98D226A380B5242A5	68
6	3	wavg2a(b1[1],b2[7])	34397110051619213566813014671643969341096	0x6515826cc4e9de769ab310cd8fca6446a8	34397110051619213566665440719054292928168	34397110051619213566960588624233645754024	0000000000000000000000000000006515826CC4E9DE7692B310CD8FCA6446A8	0000000000000000000000000000006515826CC4E9DE76A2B310CD8FCA6446A8	68
7	3	wavg2a(b1[10],b1[27])	34396787567781729472454552324872190505623	0x6515445116a469eb4a1ad8cdc9d2df3297	34396787567781729472306978372282514092695	34396787567781729472602126277461866918551	0000000000000000000000000000006515445116A469EB421AD8CDC9D2DF3297	0000000000000000000000000000006515445116A469EB521AD8CDC9D2DF3297	68
8	3	wavg2a(b2[10],b3[17])	34397196302846583187431493476075624417417	0x6515930948744f843c6f30b72097fb4889	34397196302846583187283919523485948004489	34397196302846583187579067428665300830345	0000000000000000000000000000006515930948744F84346F30B72097FB4889	0000000000000000000000000000006515930948744F84446F30B72097FB4889	68
9	3	wavg2a(b1[27],b4[42])	34397508193373559660730539773662841169753	0x6515cf1aac597166ff4f2a2999776a6759	34397508193373559660582965821073164756825	34397508193373559660878113726252517582681	0000000000000000000000000000006515CF1AAC597166F74F2A2999776A6759	0000000000000000000000000000006515CF1AAC597167074F2A2999776A6759	68
10	3	wavg2b(b1[68],b2[34])	34397686350317442690610958355081515370359	0x6515f16a7d1e252472224d7bd823f20777	34397686350317442690463384402491838957431	34397686350317442690758532307671191783287	0000000000000000000000000000006515F16A7D1E25246A224D7BD823F20777	0000000000000000000000000000006515F16A7D1E25247A224D7BD823F20777	68
11	3	wavg2b(b1[18],b3[57])	34395349569714579269391985405040734031355	0x65142f5e4f54b68b57afb07e45efb0cdfb	34395349569714579269244411452451057618427	34395349569714579269539559357630410444283	00000000000000000000000000000065142F5E4F54B68B4FAFB07E45EFB0CDFB	00000000000000000000000000000065142F5E4F54B68B5FAFB07E45EFB0CDFB	68
12	3	avg(b2[12],b3[27])	34395069493849757148580694804578975387289	0x6513f96d80ed45a9d71cc7bbab06348e99	34395069493849757148433120851989298974361	34395069493849757148728268757168651800217	0000000000000000000000000000006513F96D80ED45A9CF1CC7BBAB06348E99	0000000000000000000000000000006513F96D80ED45A9DF1CC7BBAB06348E99	68
13	3	avg(b4[0],b4[66])	34399099430959510801405529449344264288229	0x65170190be4f19de2ec56f9e8a5543b7e5	34399099430959510801257955496754587875301	34399099430959510801553103401933940701157	00000000000000000000000000000065170190BE4F19DE26C56F9E8A5543B7E5	00000000000000000000000000000065170190BE4F19DE36C56F9E8A5543B7E5	68
14	3	wavg2a(b3[31],b3[43])	34394551646206688774027730634764121414776	0x651395b1a4c25b3947073bf08b074e1c78	34394551646206688773880156682174445001848	34394551646206688774175304587353797827704	000000000000000000000000000000651395B1A4C25B393F073BF08B074E1C78	000000000000000000000000000000651395B1A4C25B394F073BF08B074E1C78	68
15	3	wavg2b(b2[26],b4[64])	34394242258433480865106181973490350332194	0x65135a1ba60eccb03d39e795a034e69922	34394242258433480864958608020900673919266	34394242258433480865253755926080026745122	00000000000000000000000000000065135A1BA60ECCB03539E795A034E69922	00000000000000000000000000000065135A1BA60ECCB04539E795A034E69922	68
16	3	avg(b1[10],b1[68])	34394208961898661791198956990946037778790	0x651353b200b449275699797ed90c90c966	34394208961898661791051383038356361365862	34394208961898661791346530943535714191718	000000000000000000000000000000651353B200B449274E99797ED90C90C966	000000000000000000000000000000651353B200B449275E99797ED90C90C966	68
17	3	wavg2b(b1[18],b3[13])	34394131075125340656608540247417344921645	0x651344b1e36a8799471680ec97cd2a902d	34394131075125340656460966294827668508717	34394131075125340656756114200007021334573	000000000000000000000000000000651344B1E36A87993F1680EC97CD2A902D	000000000000000000000000000000651344B1E36A87994F1680EC97CD2A902D	68
18	3	wavg2b(b3[5],b3[43])	34399812063756719401616506703276668527490	0x65178ad040c3d24160349af9c09c9aa382	34399812063756719401468932750686992114562	34399812063756719401764080655866344940418	00000000000000000000000000000065178AD040C3D24158349AF9C09C9AA382	00000000000000000000000000000065178AD040C3D24168349AF9C09C9AA382	68
19	3	wavg2b(b1[15],b2[8])	34393632225377834202977277543765556927234	0x6512e49eb266e5498852056a537c891b02	34393632225377834202829703591175880514306	34393632225377834203124851496355233340162	0000000000000000000000000000006512E49EB266E5498052056A537C891B02	0000000000000000000000000000006512E49EB266E5499052056A537C891B02	68
20	3	wavg2b(b2[41],b3[43])	34400364023283546462375202703386017566039	0x6517f51df56fc38af53c8f105368948d57	34400364023283546462227628750796341153111	34400364023283546462522776655975693978967	0000000000000000000000000000006517F51DF56FC38AED3C8F105368948D57	0000000000000000000000000000006517F51DF56FC38AFD3C8F105368948D57	68
